sample_id,rgb_timestamp_s,depth_timestamp_s,depth_age_s,rgb_path,depth_path,x,y,z,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,depth_min_m,depth_mean_m,depth_max_m
000001,85.340000,85.276000,0.064000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000001.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000001.npy,0.8203479647636414,0.6979463696479797,0.10451889038085938,-0.03655685831088055,0.016610009663334684,-2.5497045516967773,-0.0007181255496107042,0.0005598033312708139,0.0004229180340189487,0.2274458259344101,0.3128678500652313,-9.775854110717773,0.14066889882087708,14.128621101379395,128.47373962402344
000002,85.836000,85.804000,0.032000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000002.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000002.npy,0.8247392177581787,0.7096585631370544,0.1037750244140625,-0.03649525899776854,0.016646045652807428,-2.5495359897613525,-0.00046334051876328886,-0.00047401574556715786,-4.851111225434579e-05,0.2199447900056839,0.3130030035972595,-9.787924766540527,0.14066892862319946,14.1284818649292,128.47512817382812
000003,86.364000,86.296000,0.068000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000003.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000003.npy,0.8334084153175354,0.7239072918891907,0.10430145263671875,-0.03649360245423944,0.016833202519467776,-2.5493550300598145,0.0007170129101723433,6.264268449740484e-05,-3.796953933488112e-06,0.22844181954860687,0.307763010263443,-9.782286643981934,0.14066894352436066,14.128728866577148,128.47373962402344
000004,87.156000,87.124000,0.032000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000004.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000004.npy,0.8318275213241577,0.7179573774337769,0.10334396362304688,-0.036392308341703476,0.016600276000525584,-2.549132823944092,0.0006929193623363972,0.00042395840864628553,0.00018398692191112787,0.2251216620206833,0.3094666302204132,-9.784366607666016,0.1406688541173935,14.122167587280273,128.422119140625
000005,87.552000,87.520000,0.032000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000005.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000005.npy,0.8241078853607178,0.7121145725250244,0.10470962524414062,-0.036185436157186744,0.016396649996694674,-2.5489776134490967,0.0009676186018623412,-0.0007025199593044817,-0.0005586521001532674,0.2225244641304016,0.31210261583328247,-9.79561996459961,0.1537090241909027,14.518847465515137,128.48052978515625
000006,87.980000,87.916000,0.064000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000006.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000006.npy,0.8257042169570923,0.7109900116920471,0.10565185546875,-0.03612228798383966,0.016579003528369333,-2.548837184906006,0.0013107663253322244,-0.0005461346008814871,-6.380670674843714e-05,0.22462494671344757,0.31834450364112854,-9.788025856018066,0.18949274718761444,14.660082817077637,128.4771270751953
000007,88.508000,88.476000,0.032000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000007.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000007.npy,0.8251831531524658,0.7043665051460266,0.10927963256835938,-0.03603517059725298,0.016554256754367905,-2.5486202239990234,-0.0004989144508726895,-0.0003234046162106097,-0.00021379745157901198,0.22783149778842926,0.3051297664642334,-9.780885696411133,0.1000010073184967,14.559789657592773,128.47360229492188
000008,89.960000,89.896000,0.064000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000008.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000008.npy,0.8164135813713074,0.6860619783401489,0.095947265625,-0.038329835701622135,0.01679474277401652,-2.5355329513549805,-0.003195228986442089,0.0007245372980833054,0.1345396190881729,0.11215724050998688,0.24097558856010437,-9.769444465637207,0.10000141710042953,13.757941246032715,128.31961059570312
000009,90.456000,90.424000,0.032000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000009.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000009.npy,0.8033201098442078,0.7543739080429077,0.0756378173828125,-0.1286947920500016,0.02464634471111407,-2.2931461334228516,-0.704739511013031,-0.09035257250070572,0.9269486665725708,0.36190158128738403,-0.1490662842988968,-10.172757148742676,0.1000044047832489,11.697951316833496,114.8150863647461
000010,90.820000,90.784000,0.036000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000010.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000010.npy,0.609474241733551,0.9991269111633301,0.011905670166015625,-0.3587823146695124,0.018533977981272244,-2.0040769577026367,-0.10138940066099167,0.11979708075523376,0.18278561532497406,-0.6828662157058716,0.0867142379283905,-10.93991470336914,0.10000152885913849,2.6059045791625977,83.5899429321289
000011,91.248000,91.180000,0.068000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000011.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000011.npy,-0.11013728380203247,1.804855465888977,-0.158111572265625,-0.15172601137475758,0.12395595990162268,-2.3116931915283203,0.5707316994667053,-0.04136247560381889,-1.2130016088485718,-0.6568205952644348,0.09502275288105011,-10.372004508972168,0.46811673045158386,10.251401901245117,2614.423583984375
000012,91.676000,91.644000,0.032000,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/rgb/000012.png,/home/prograf4080/TCC_Drone/datasets/depth_ground_truth/run_20260516_201713/depth_m/000012.npy,-0.8411617279052734,3.011791467666626,-0.39414215087890625,-0.1893043781847272,-0.19792836859526916,3.1373748779296875,-0.2238912582397461,-0.20738345384597778,-2.578958749771118,-0.5711936950683594,-0.3240024745464325,-12.111637115478516,0.10000142455101013,18.16254234313965,2867.041748046875
